K,seed,test_acc,seconds
1,1,0.6333333333333333,431
2,1,0.4666666666666667,425
4,1,0.5666666666666667,431
8,1,0.4666666666666667,434
1,2,0.6666666666666666,430
2,2,0.7666666666666667,441
4,2,0.7333333333333333,443
8,2,0.7,437
